"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"27.01.2022","1,2195","1,2030","1,2670","1,1960","1,29%"
"26.01.2022","1,2040","1,1570","1,2120","1,1560","3,08%"
"25.01.2022","1,1680","1,1430","1,1850","1,1420","3,18%"
"24.01.2022","1,1320","1,1670","1,1710","1,1170","-3,29%"
"23.01.2022","1,1705","1,1705","1,1705","1,1705","0,30%"
"22.01.2022","1,1670","1,1670","1,1670","1,1670","-0,26%"
"21.01.2022","1,1700","1,1820","1,2080","1,1400","-4,65%"
"20.01.2022","1,2270","1,2690","1,2700","1,2220","-2,39%"
"19.01.2022","1,2570","1,2850","1,3000","1,2540","3,12%"
"18.01.2022","1,2190","1,1950","1,2240","1,1860","2,35%"
"17.01.2022","1,1910","1,1760","1,1920","1,1620","3,93%"
"16.01.2022","1,1460","1,1460","1,1460","1,1460","-1,29%"
"15.01.2022","1,1610","1,1610","1,1610","1,1610","0,87%"
"14.01.2022","1,1510","1,1020","1,1540","1,1020","4,07%"
"13.01.2022","1,1060","1,1460","1,1630","1,1030","-2,90%"
"12.01.2022","1,1390","1,1530","1,1690","1,1200","-2,82%"
"11.01.2022","1,1720","1,1890","1,1960","1,1580","-1,51%"
"10.01.2022","1,1900","1,1920","1,2020","1,1670","1,02%"
"09.01.2022","1,1780","1,1780","1,1780","1,1780","0,34%"
"08.01.2022","1,1740","1,1740","1,1740","1,1740","-0,51%"
"07.01.2022","1,1800","1,1520","1,1840","1,1430","1,90%"
"06.01.2022","1,1580","1,1450","1,1600","1,1210","6,43%"
"05.01.2022","1,0880","1,0750","1,0960","1,0580","0,00%"
"04.01.2022","1,0880","1,0230","1,0930","1,0220","11,93%"
"03.01.2022","0,9720","0,9740","0,9960","0,9460","-0,10%"
"02.01.2022","0,9730","0,9730","0,9730","0,9730","0,36%"
"01.01.2022","0,9695","0,9695","0,9695","0,9695","-0,26%"
"31.12.2021","0,9720","0,9740","0,9960","0,9460","-0,51%"
"30.12.2021","0,9770","1,0040","1,0200","0,9700","-3,65%"
"29.12.2021","1,0140","0,9260","1,0270","0,9260","9,92%"
"27.12.2021","0,9225","0,9290","0,9290","0,9225","-0,70%"
"26.12.2021","0,9290","0,9290","0,9290","0,9290","0,81%"
"25.12.2021","0,9215","0,9215","0,9215","0,9215","-0,05%"
"24.12.2021","0,9220","0,9090","0,9550","0,9090","-0,11%"
"23.12.2021","0,9230","0,9060","0,9410","0,9020","3,94%"
"22.12.2021","0,8880","0,8760","0,9240","0,8660","1,60%"
"21.12.2021","0,8740","0,7990","0,8800","0,7790","12,77%"
"20.12.2021","0,7750","0,7280","0,7790","0,7110","0,71%"
"19.12.2021","0,7695","0,7695","0,7695","0,7695","0,79%"
"18.12.2021","0,7635","0,7635","0,7635","0,7635","0,73%"
"17.12.2021","0,7580","0,7330","0,7790","0,7320","0,13%"
"16.12.2021","0,7570","0,7330","0,8250","0,7220","2,57%"
"15.12.2021","0,7380","0,7340","0,7680","0,7210","1,93%"
"14.12.2021","0,7240","0,6950","0,7370","0,6950","4,17%"
"13.12.2021","0,6950","0,7360","0,7460","0,6940","-5,38%"
"11.12.2021","0,7345","0,7345","0,7345","0,7345","-0,88%"
